epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8729,1.08864,1.88423,1.35999,0.99934,1,0.995,0.69423,1.31125,0.63155,1.20907,0.000662857,0.000662857,0.000662857
2,93.7348,0.65381,0.54859,1.08576,0.99931,1,0.995,0.77542,1.00916,0.47581,1.05567,0.00131636,0.00131636,0.00131636
3,135.041,0.52045,0.44586,1.07441,0.9994,1,0.995,0.9528,0.4333,0.39487,1.1186,0.00195667,0.00195667,0.00195667
4,176.278,0.45899,0.38588,1.07519,0.99943,1,0.995,0.90875,0.4884,0.37495,1.10387,0.0019406,0.0019406,0.0019406
5,217.548,0.39809,0.3477,1.04774,1,1,0.995,0.9922,0.38444,0.36931,1.07975,0.0019208,0.0019208,0.0019208
6,259.1,0.3861,0.33586,1.06859,1,1,0.995,0.99004,0.33408,0.34721,1.15148,0.001901,0.001901,0.001901
7,300.799,0.36541,0.31977,1.05702,0.99945,1,0.995,0.99105,0.24174,0.27495,1.15361,0.0018812,0.0018812,0.0018812
8,342.448,0.33352,0.29426,1.03935,0.99946,1,0.995,0.98464,0.24992,0.27954,1.1303,0.0018614,0.0018614,0.0018614
9,384.441,0.32615,0.28909,1.04338,1,1,0.995,0.995,0.28335,0.30317,1.0857,0.0018416,0.0018416,0.0018416
10,426.784,0.31687,0.28743,1.03629,0.99945,1,0.995,0.98648,0.23953,0.23482,1.15843,0.0018218,0.0018218,0.0018218
11,469.868,0.31788,0.28745,1.0362,0.99945,1,0.995,0.995,0.28233,0.28952,1.08541,0.001802,0.001802,0.001802
12,512.556,0.30409,0.27679,1.03325,0.99945,1,0.995,0.99268,0.2256,0.26258,1.11875,0.0017822,0.0017822,0.0017822
13,554.897,0.30675,0.27753,1.03955,0.99945,1,0.995,0.99466,0.23654,0.24832,1.11011,0.0017624,0.0017624,0.0017624
14,597.335,0.29919,0.26937,1.02593,0.99946,1,0.995,0.995,0.24579,0.25611,1.11192,0.0017426,0.0017426,0.0017426
15,640.177,0.28688,0.26461,1.03013,0.99945,1,0.995,0.995,0.22658,0.24954,1.11685,0.0017228,0.0017228,0.0017228
16,682.504,0.2951,0.26953,1.03744,1,1,0.995,0.99494,0.21145,0.24486,1.10607,0.001703,0.001703,0.001703
17,725.049,0.28591,0.26496,1.02548,0.99946,1,0.995,0.995,0.20656,0.24274,1.0981,0.0016832,0.0016832,0.0016832
18,767.442,0.29272,0.26782,1.02681,1,1,0.995,0.995,0.20493,0.24343,1.09168,0.0016634,0.0016634,0.0016634
19,809.676,0.26974,0.25403,1.02848,1,1,0.995,0.99428,0.24632,0.24877,1.07924,0.0016436,0.0016436,0.0016436
20,851.777,0.2728,0.25091,1.02594,0.99946,1,0.995,0.99494,0.23069,0.25563,1.10013,0.0016238,0.0016238,0.0016238
21,893.874,0.26757,0.24746,1.01969,1,1,0.995,0.995,0.21469,0.22594,1.09025,0.001604,0.001604,0.001604
22,935.795,0.2685,0.24858,1.0178,0.99945,1,0.995,0.995,0.20544,0.23964,1.08152,0.0015842,0.0015842,0.0015842
23,977.681,0.26158,0.23962,1.01809,1,1,0.995,0.995,0.21607,0.23701,1.08776,0.0015644,0.0015644,0.0015644
24,1019.84,0.24838,0.23578,1.01598,0.99932,1,0.995,0.995,0.19466,0.22901,1.0935,0.0015446,0.0015446,0.0015446
25,1062.11,0.25538,0.23883,1.01383,0.99947,1,0.995,0.995,0.22962,0.22932,1.06447,0.0015248,0.0015248,0.0015248
26,1104.4,0.24323,0.22867,1.01645,1,1,0.995,0.995,0.1809,0.20397,1.09439,0.001505,0.001505,0.001505
27,1146.68,0.24511,0.23,1.00736,1,1,0.995,0.99478,0.19392,0.23206,1.08542,0.0014852,0.0014852,0.0014852
