epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1065,0.54348,4.77806,0,0.68794,1.19841,0.99979,1,0.995,0.98737,0.9098,0.91,0.86072,0.11731,0.31538,3.84671,0,0.26898,0.73778,0.000662857,0.000662857,0.000662857
2,69.2883,0.26735,1.73066,0,0.2764,0.97423,0.99986,1,0.995,0.995,0.99986,1,0.995,0.6836,0.20477,1.24975,0,0.24517,0.60747,0.00131636,0.00131636,0.00131636
3,99.3094,0.24859,1.06955,0,0.26032,0.95498,0.99987,1,0.995,0.995,0.99987,1,0.995,0.44996,0.34999,2.15784,0,0.3179,0.73349,0.00195667,0.00195667,0.00195667
4,130.079,0.23373,0.79316,0,0.23632,0.93924,0.99979,1,0.995,0.995,0.99979,1,0.995,0.90514,0.29359,0.50052,0,0.1927,0.72747,0.0019406,0.0019406,0.0019406
5,158.492,0.19369,0.67056,0,0.20787,0.91695,0.99986,1,0.995,0.99496,0.99986,1,0.995,0.87889,0.36987,0.46831,0,0.34375,0.70791,0.0019208,0.0019208,0.0019208
6,188.302,0.19479,0.5699,0,0.20994,0.9174,0.99986,1,0.995,0.84038,0.99986,1,0.995,0.91889,0.74673,0.34972,0,0.69635,0.98593,0.001901,0.001901,0.001901
7,219.749,0.17235,0.47246,0,0.19281,0.90967,0.99987,1,0.995,0.995,0.99987,1,0.995,0.87447,0.18508,0.5064,0,0.15933,0.5575,0.0018812,0.0018812,0.0018812
8,249.489,0.16147,0.4658,0,0.17989,0.90826,0.99987,1,0.995,0.995,0.99987,1,0.995,0.9722,0.15067,0.26153,0,0.16355,0.5438,0.0018614,0.0018614,0.0018614
9,280.769,0.1523,0.41441,0,0.16988,0.90354,0.99986,1,0.995,0.995,0.99986,1,0.995,0.9668,0.18585,0.29781,0,0.19116,0.54792,0.0018416,0.0018416,0.0018416
10,311.171,0.14329,0.3723,0,0.16554,0.89845,0.99987,1,0.995,0.995,0.99987,1,0.995,0.90752,0.13523,0.36213,0,0.16599,0.4821,0.0018218,0.0018218,0.0018218
11,342.368,0.13641,0.33951,0,0.15893,0.8948,1,1,0.995,0.995,0.97,0.97,0.96728,0.32637,0.38176,3.32785,0,0.37115,0.65098,0.001802,0.001802,0.001802
