epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5779,1.35542,1.27133,0,1.21675,1.3942,0.9995,1,0.995,0.81181,0.9995,1,0.995,0.96456,0.90483,0.40457,0,0.53079,1.08234,0.000662698,0.000662698,0.000662698
2,69.866,0.89475,0.34719,0,0.61451,1.04978,0.99948,1,0.995,0.88801,0.99948,1,0.995,0.98824,0.73366,0.17558,0,0.5464,1.07449,0.0013162,0.0013162,0.0013162
3,99.4396,0.79459,0.23267,0,0.58461,1.01811,0.99949,1,0.995,0.88395,0.99949,1,0.995,0.99494,0.68219,0.1256,0,0.47304,1.0568,0.00195651,0.00195651,0.00195651
4,130.113,0.7208,0.13884,0,0.5468,0.98985,0.99982,1,0.995,0.82956,0.99982,1,0.995,0.99494,0.94318,0.08027,0,0.48205,1.1928,0.0019406,0.0019406,0.0019406
5,160.516,0.63097,0.11733,0,0.49217,0.95943,0.99982,1,0.995,0.81896,0.99982,1,0.995,0.99493,0.89485,0.05672,0,0.43889,1.18541,0.0019208,0.0019208,0.0019208
6,189.601,0.54378,0.07742,0,0.43931,0.92428,0.99984,1,0.995,0.97688,0.99984,1,0.995,0.99458,0.40572,0.05931,0,0.26001,0.97121,0.001901,0.001901,0.001901
7,220.031,0.54895,0.08597,0,0.44385,0.9253,0.99984,1,0.995,0.95361,0.99984,1,0.995,0.99496,0.43613,0.04166,0,0.2694,0.98754,0.0018812,0.0018812,0.0018812
8,247.753,0.49742,0.06814,0,0.411,0.91327,0.99982,1,0.995,0.91692,0.99982,1,0.995,0.99496,0.51472,0.03342,0,0.29021,0.98859,0.0018614,0.0018614,0.0018614
9,277.527,0.56507,0.06854,0,0.43287,0.93314,0.99985,1,0.995,0.97136,0.99985,1,0.995,0.99493,0.40626,0.04123,0,0.24908,0.92854,0.0018416,0.0018416,0.0018416
10,307.809,0.47292,0.06027,0,0.40119,0.90731,0.99984,1,0.995,0.98489,0.99984,1,0.995,0.995,0.38277,0.03795,0,0.23938,0.94935,0.0018218,0.0018218,0.0018218
11,337.139,0.46042,0.05341,0,0.3948,0.90214,0.9995,1,0.995,0.82404,0.9995,1,0.995,0.99494,0.93436,0.05449,0,0.56518,1.28051,0.001802,0.001802,0.001802
12,365.777,0.44469,0.06832,0,0.37779,0.8938,0.99985,1,0.995,0.98732,0.99985,1,0.995,0.99499,0.35985,0.02661,0,0.23849,0.91754,0.0017822,0.0017822,0.0017822
13,394.501,0.46806,0.04705,0,0.38984,0.9023,0.99985,1,0.995,0.97404,0.99985,1,0.995,0.99497,0.4687,0.03169,0,0.27588,0.98377,0.0017624,0.0017624,0.0017624
14,423.227,0.40469,0.04543,0,0.3618,0.87735,0.99985,1,0.995,0.93525,0.99985,1,0.995,0.99499,0.52601,0.02775,0,0.26641,1.02154,0.0017426,0.0017426,0.0017426
15,453.44,0.40318,0.04358,0,0.35132,0.87755,0.99985,1,0.995,0.98919,0.99985,1,0.995,0.99499,0.33741,0.02708,0,0.20976,0.94801,0.0017228,0.0017228,0.0017228
16,481.184,0.38363,0.04921,0,0.34771,0.87627,0.99985,1,0.995,0.99007,0.99985,1,0.995,0.99499,0.34478,0.02845,0,0.21877,0.95432,0.001703,0.001703,0.001703
17,510.096,0.38482,0.03641,0,0.33779,0.87065,0.99985,1,0.995,0.99229,0.99985,1,0.995,0.99499,0.31461,0.02365,0,0.19648,0.94,0.0016832,0.0016832,0.0016832
18,539.051,0.38375,0.03546,0,0.34237,0.87359,0.99985,1,0.995,0.98459,0.99985,1,0.995,0.99493,0.33651,0.02244,0,0.20511,0.9358,0.0016634,0.0016634,0.0016634
19,566.579,0.37935,0.03979,0,0.33598,0.87405,0.99985,1,0.995,0.96228,0.99985,1,0.995,0.99499,0.50648,0.0227,0,0.2713,1.0174,0.0016436,0.0016436,0.0016436
20,596.449,0.36204,0.03637,0,0.32181,0.87024,0.99986,1,0.995,0.97852,0.99986,1,0.995,0.99499,0.4449,0.02848,0,0.24903,0.99169,0.0016238,0.0016238,0.0016238
21,626.52,0.37893,0.04089,0,0.33315,0.87683,0.99985,1,0.995,0.98412,0.99985,1,0.995,0.99499,0.37698,0.01822,0,0.21832,0.96037,0.001604,0.001604,0.001604
22,655.627,0.35261,0.03162,0,0.31666,0.86198,0.99985,1,0.995,0.99364,0.99985,1,0.995,0.99498,0.30663,0.01736,0,0.18761,0.94185,0.0015842,0.0015842,0.0015842
23,685.246,0.33635,0.03087,0,0.31852,0.86114,0.99985,1,0.995,0.96517,0.99985,1,0.995,0.995,0.47151,0.0175,0,0.23234,1.0165,0.0015644,0.0015644,0.0015644
24,713.882,0.35635,0.0312,0,0.31955,0.86805,0.99985,1,0.995,0.99244,0.99985,1,0.995,0.99499,0.33076,0.01919,0,0.18265,0.94671,0.0015446,0.0015446,0.0015446
25,743.607,0.33246,0.03041,0,0.29882,0.86135,0.99985,1,0.995,0.95825,0.99985,1,0.995,0.99498,0.47385,0.01939,0,0.22833,0.98,0.0015248,0.0015248,0.0015248
26,773.425,0.32112,0.02891,0,0.29944,0.85717,0.99985,1,0.995,0.99257,0.99985,1,0.995,0.99496,0.29161,0.01957,0,0.17774,0.93045,0.001505,0.001505,0.001505
27,801.537,0.3114,0.03252,0,0.28882,0.85496,0.99986,1,0.995,0.99293,0.99986,1,0.995,0.99489,0.29424,0.02153,0,0.17791,0.93113,0.0014852,0.0014852,0.0014852
28,830.706,0.3171,0.02551,0,0.29982,0.85495,0.99985,1,0.995,0.99444,0.99985,1,0.995,0.99496,0.2937,0.01397,0,0.17338,0.94126,0.0014654,0.0014654,0.0014654
29,859.378,0.31999,0.03049,0,0.30693,0.85915,0.99985,1,0.995,0.9915,0.99985,1,0.995,0.99499,0.35241,0.0145,0,0.19622,0.94405,0.0014456,0.0014456,0.0014456
30,887.565,0.30919,0.0235,0,0.28132,0.85527,0.99985,1,0.995,0.99397,0.99985,1,0.995,0.99499,0.30575,0.01495,0,0.17264,0.94863,0.0014258,0.0014258,0.0014258
31,917.413,0.33413,0.02387,0,0.29446,0.85874,0.99985,1,0.995,0.99474,0.99985,1,0.995,0.99499,0.29468,0.01169,0,0.17183,0.94435,0.001406,0.001406,0.001406
32,946.413,0.30926,0.02446,0,0.2898,0.84968,0.99985,1,0.995,0.98599,0.99985,1,0.995,0.99499,0.37096,0.01876,0,0.20194,0.98646,0.0013862,0.0013862,0.0013862
33,975.916,0.29205,0.02624,0,0.28684,0.85132,0.99986,1,0.995,0.9944,0.99986,1,0.995,0.99499,0.28081,0.01545,0,0.17359,0.9231,0.0013664,0.0013664,0.0013664
