epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72978,2.00202,4.70737,2.45636,0.00179,0.17647,0.00129,0.00048,1.37543,4.25337,1.86615,0.00011669,0.00011669,0.00011669
2,6.70689,1.48433,3.56893,2.06658,0.60776,0.83966,0.60697,0.34519,0.80216,3.16651,1.52447,0.000247575,0.000247575,0.000247575
3,9.16213,1.11438,2.50427,1.68133,0.52738,0.84663,0.86733,0.66873,0.72449,2.34144,1.42404,0.000375818,0.000375818,0.000375818
4,11.5968,0.91407,1.94233,1.56384,0.63729,0.91176,0.98884,0.83823,0.60342,2.45397,1.3931,0.000501422,0.000501422,0.000501422
5,13.3825,0.85648,1.77817,1.65623,0.78488,0.99031,0.995,0.8468,0.65201,1.73209,1.39559,0.000624385,0.000624385,0.000624385
6,15.1267,0.79541,1.47144,1.52696,0.89829,0.95371,0.995,0.84515,0.68044,1.33961,1.32342,0.000744707,0.000744707,0.000744707
7,16.7657,0.76267,1.26568,1.56236,0.97902,1,0.995,0.83329,0.6573,1.0277,1.29151,0.000862389,0.000862389,0.000862389
8,18.5153,0.67396,1.01952,1.41535,0.98183,1,0.995,0.85613,0.6217,0.8304,1.25822,0.00097743,0.00097743,0.00097743
9,20.1689,0.75561,1.00004,1.44499,0.98228,1,0.995,0.85868,0.6488,0.7067,1.22767,0.00108983,0.00108983,0.00108983
10,22.0323,0.70585,0.90592,1.41991,0.98758,1,0.995,0.88929,0.57337,0.57967,1.36041,0.00119959,0.00119959,0.00119959
11,23.6485,0.68454,0.90122,1.49846,0.98984,1,0.995,0.86703,0.59945,0.67813,1.34642,0.00130671,0.00130671,0.00130671
12,25.3136,0.71872,0.88675,1.53838,0.98998,1,0.995,0.84843,0.6406,0.65911,1.46427,0.00141119,0.00141119,0.00141119
